"ISIN","Company","Country"
"AEA007701013","Al Seer Marine Supplies and Equipment Company LLC","United Arab Emirates"
"IT0005440893","Wiit SpA","Italy"
"PHY2257P1031","8990 Holdings Inc","Philippines"
"US34379V1035","Fluence Energy Inc","United States of America"
"JP3322970009","Samty Co Ltd","Japan"
"CH0008531045","Datacolor AG","Switzerland"
"SE0015661236","Creades publ AB","Sweden"
"KR7299900001","Wysiwyg Studios Co Ltd","Korea; Republic (S. Korea)"
"AU0000180499","GQG Partners Inc","United States of America"
"CH1109007893","VectivBio Holding AG","Switzerland"
"ID1000113400","Dian Swastatika Sentosa Tbk PT","Indonesia"
"DE0005297204","Homag Group AG","Germany"
"DE000VTSC017","Vitesco Technologies Group AG","Germany"
"VN000000MWG0","Mobile World Investment Corp","Vietnam"
"US75960P1049","Remitly Global Inc","United States of America"
"BRMOARACNOR5","Monteiro Aranha SA","Brazil"
"AU000000JLG8","Johns Lyng Group Ltd","Australia"
"INE415G01027","Rail Vikas Nigam Ltd","India"
"IL0011754889","Retailors Ltd","Israel"
"INE054A01027","V I P Industries Ltd","India"
"VN000000VCI9","Viet Capital Securities JSC","Vietnam"
"IL0011794802","Cellebrite DI Ltd","Israel"
"DE0006627201","Muehlbauer Holding AG","Germany"
"US05368X1028","Avidxchange Holdings Inc","United States of America"
"JP3048200004","Star Asia Investment Corp","Japan"
"IS0000020469","Kvika banki hf","Iceland"
"US68217N1054","Omega Therapeutics Inc","United States of America"
"FR0014005DA7","Exclusive Networks SAS","France"
"INE171Z01018","Bharat Dynamics Ltd","India"
"US88339Q1094","Theralink Technologies Inc","United States of America"
"US69376K1060","P10 Inc","United States of America"
"CH0045825517","Fundamenta Real Estate AG","Switzerland"
"CH1111227810","Trifork Holding AG","Switzerland"
"INE586V01016","TCI Express Ltd","India"
"US80359A1060","Sarcos Technology and Robotics Corp","Unable to resolve all requested identifiers."
"CA31730E1016","Filo Mining Corp","Unable to resolve all requested identifiers."
"US9293342096","WTB Financial Corp","United States of America"
"KYG6525T1022","91APP Inc","Taiwan"
"KW0EQ0400642","Salhia Real Estate Co KSCP","Kuwait"
"DE000A1X3X33","WCM Beteiligungsund Grundbesitz-AG","Germany"
"IT0004720733","Alerion Clean Power SpA","Italy"
"TW0006412000","Chicony Power Technology Co Ltd","Taiwan"
"US8713321029","Sylvamo Corp","United States of America"
"JP3305560009","Comture Corp","Japan"
"CA88105E1088","Terrascend Corp","Canada"
"INE517B01013","Tata Teleservices (Maharashtra) Ltd","India"
"BMG2113M1203","Chow Sang Sang Holdings International Ltd","Hong Kong"
"CA43366H1001","HIVE Blockchain Technologies Ltd","NULL"
"TH0922010Y06","PSG Corporation PCL","Thailand"
"BMG0670A1099","AutoStore Holdings Ltd","Norway"
"TW0001536001","Hota Industrial Mfg. Co Ltd","Taiwan"
"NL0015000F41","Lilium NV","Germany"
"US6793691089","Olaplex Holdings Inc","United States of America"
"TW0001723005","China Steel Chemical Corp","Taiwan"
"KR7122870009","YG Entertainment Inc","Korea; Republic (S. Korea)"
"US8887871080","Toast Inc","United States of America"
"TH0212A10Z07","TPI Polene PCL","Thailand"
"IT0005366601","Antares Vision SpA","Italy"
"INE225D01027","Symphony Ltd","India"
"FR0000031023","Electricite de Strasbourg SA","France"
"PK0012101017","Engro Corporation Ltd (Pakistan)","Pakistan"
"SE0009921471","Fastighets AB Trianon","Unable to resolve all requested identifiers."
"CH0396131929","SunMirror AG","Switzerland"
"PEP669501004","Pacifico Compania de Seguros y Reaseguros","Peru"
"KR7013890009","Zinus Inc","Korea; Republic (S. Korea)"
"CA98420N1050","Xenon Pharmaceuticals Inc","Canada"
"NGWAPCO00002","Lafarge Africa PLC","Nigeria"
"CA76090H1038","Restaurant Brands International LP","Canada"
"IL0006990175","Property and Building Corp Ltd","Israel"
"ID1000116601","Harum Energy Tbk PT","Indonesia"
"CH0491064009","Ultima Capital SA","Switzerland"
"SG1J49001550","Straits Trading Company Ltd","Singapore"
"US03213A1043","Amplitude Inc","United States of America"
"CH0384629934","SenioResidenz AG","Switzerland"
"NL0000302636","Van Lanschot Kempen NV","Netherlands"
"CH1122548808","Astrocast SA","Switzerland"
"US73642K1060","Portillos Inc","United States of America"
"US46323Q1058","IronNet Inc","United States of America"
"CH0461929603","Xlife Sciences AG","Switzerland"
"US90240B1061","Tyra Biosciences Inc","United States of America"
"NL0015000CZ2","Ebusco Holding NV","Netherlands"
"US1095041000","Brilliant Earth Group Inc","United States of America"
"KYG4701H1092","IHS Holding Ltd","United Kingdom"
"SE0015962485","RVRC Holding AB","Sweden"
"FR0010588079","Frey SA","France"
"CA63010G1000","NanoXplore Inc","Canada"
"ID1000159601","Berkah Beton Sadaya Tbk PT","Indonesia"
"AEA000301019","Abu Dhabi National Hotels Co PJSC","United Arab Emirates"
"US2297901009","Cue Health Inc","United States of America"
"IL0011708778","OY Nofar Energy Ltd","Israel"
"SE0016798763","CTEK AB (publ)","Sweden"
"INE00M201021","Sterling and Wilson Solar Ltd","India"
"GB00BL9ZF303","Petershill Partners PLC","United Kingdom"
"IL0007150118","Azorim Investment Development and Construction Co Ltd","Israel"
"CLP5824Y1011","Norte Grande SA","Chile"
"US63942X1063","Navitas Semiconductor Corp","United States of America"
"AU0000182271","Judo Capital Holdings Ltd","Australia"
"CA21766N1096","Copperleaf Technologies Inc","Canada"
"US25056L1035","Design Therapeutics Inc","United States of America"
"PHY6143N1073","MREIT Inc","Philippines"
"AU0000187528","APM Human Services International Ltd","Australia"
"DE0005229504","Bijou Brigitte modische Accessoires AG","Germany"
